Event Date / Time,Event Number,Type,Address,Latitude,Longitude
7/17/2024 14:16,2024-043336,ALARM / RESIDENTIAL,"4010 SHIRLEY DR Belleville, IL",38.5456482,-90.0155841
7/19/2024 2:09,2024-043705,ALARM / RESIDENTIAL,"610 N CHURCH Belleville, IL",38.520479,-89.979735
7/19/2024 13:25,2024-043802,ALARM / RESIDENTIAL,"210 WABASH AVE Belleville, IL",38.5106599,-89.9708828
7/14/2024 13:59,2024-042538,ANIMAL COMPLAINT,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/14/2024 18:24,2024-042575,ANIMAL COMPLAINT,"4410 W WASHINGTON Belleville, IL",38.5386431,-90.0231437
7/15/2024 8:26,2024-042677,ANIMAL COMPLAINT,"110 N 78TH Belleville, IL",38.5638225,-90.0460328
7/15/2024 10:44,2024-042712,ANIMAL COMPLAINT,"1210 PRAIRIE AVE Belleville, IL",38.5092621,-89.961179
7/15/2024 21:17,2024-042826,ANIMAL COMPLAINT,"3910 SHIRLEY DR Belleville, IL",38.5456405,-90.0146736
7/17/2024 11:30,2024-043305,ANIMAL COMPLAINT,"310 S PENNSYLVANIA Belleville, IL",38.5112912,-89.9659008
7/17/2024 15:26,2024-043355,ANIMAL COMPLAINT,"4710 RUTH ST Belleville, IL",38.5432031,-90.0321953
7/18/2024 11:13,2024-043540,ANIMAL COMPLAINT,"510 N 2ND Belleville, IL",38.5192469,-89.9868898
7/19/2024 7:43,2024-043734,ANIMAL COMPLAINT,"410 S ILLINOIS Belleville, IL",,
7/19/2024 17:24,2024-043838,ANIMAL COMPLAINT,"110 KANSAS AVE Belleville, IL",38.5206733,-89.9639762
7/13/2024 23:30,2024-042441,ASSIST / EMS,"10 N 17TH Belleville, IL",38.629109,-90.2047887
7/17/2024 12:51,2024-043321,ASSIST / EMS,"610 N CHARLES Belleville, IL",38.5197683,-89.9785569
7/17/2024 16:08,2024-043365,ASSIST / EMS,"1310 N CHURCH Belleville, IL",38.526093,-89.9736907
7/18/2024 13:19,2024-043561,ASSIST / EMS,"710 N 17TH Belleville, IL",38.6342463,-90.2029317
7/19/2024 11:28,2024-043783,ASSIST / OFFICER,"710 N 5TH Belleville, IL",38.520903,-89.9912191
7/13/2024 0:47,2024-042214,ASSIST / OTHER AGENCY,"1 OLD ST LOUIS Belleville, IL",38.546344,-90.053582
